arg1,arg2,defeater
"[(~a_22-<d_24,a_5,~a_7),~a_7,a_5,d_24]","[(a_22-<d_24,a_5,~a_7,d_28),d_28,~a_7,a_5,d_24]","[(a_22-<d_24,a_5,~a_7,d_28),d_28,~a_7,a_5,d_24]"
"[(~a_22-<d_24,a_5,~a_7),~a_7,a_5,d_24]","[(a_22-<d_24,a_5,d_29,~a_7),~a_7,d_29,a_5,d_24]","[(a_22-<d_24,a_5,d_29,~a_7),~a_7,d_29,a_5,d_24]"
"[(~a_22-<a_11,~a_23,a_12,~d_25),~d_25,(a_12-<a_5,~a_7),~a_7,a_5,~a_23,(a_11-< ~a_2),~a_2]","[(a_22-<a_11,~a_23,d_30,a_12,~d_25),~d_25,(a_12-<a_5,~a_7),~a_7,a_5,d_30,~a_23,(a_11-< ~a_2),~a_2]","[(a_22-<a_11,~a_23,d_30,a_12,~d_25),~d_25,(a_12-<a_5,~a_7),~a_7,a_5,d_30,~a_23,(a_11-< ~a_2),~a_2]"
"[(~a_22-<a_11,~a_23,a_12,~d_25),~d_25,(a_12-<a_5,~a_7),~a_7,a_5,~a_23,(a_11-< ~a_2),~a_2]","[(a_22-<a_11,~a_23,~d_25,a_12,d_31),d_31,(a_12-<a_5,~a_7),~a_7,a_5,~d_25,~a_23,(a_11-< ~a_2),~a_2]","[(a_22-<a_11,~a_23,~d_25,a_12,d_31),d_31,(a_12-<a_5,~a_7),~a_7,a_5,~d_25,~a_23,(a_11-< ~a_2),~a_2]"
"[(~a_22-<d_26,a_11,~a_23,a_12),(a_12-<a_5,~a_7),~a_7,a_5,~a_23,(a_11-< ~a_2),~a_2,d_26]","[(a_22-<a_11,d_26,~a_23,a_12,d_32),d_32,(a_12-<a_5,~a_7),~a_7,a_5,~a_23,d_26,(a_11-< ~a_2),~a_2]","[(a_22-<a_11,d_26,~a_23,a_12,d_32),d_32,(a_12-<a_5,~a_7),~a_7,a_5,~a_23,d_26,(a_11-< ~a_2),~a_2]"
"[(~a_22-<d_26,a_11,~a_23,a_12),(a_12-<a_5,~a_7),~a_7,a_5,~a_23,(a_11-< ~a_2),~a_2,d_26]","[(a_22-< ~d_33,a_11,d_26,~a_23,a_12),(a_12-<a_5,~a_7),~a_7,a_5,~a_23,d_26,(a_11-< ~a_2),~a_2,~d_33]","[(a_22-< ~d_33,a_11,d_26,~a_23,a_12),(a_12-<a_5,~a_7),~a_7,a_5,~a_23,d_26,(a_11-< ~a_2),~a_2,~d_33]"
"[(~a_22-<d_27,~a_2),~a_2,d_27]","[(a_22-<d_27,~a_2,~d_34),~d_34,~a_2,d_27]","[(a_22-<d_27,~a_2,~d_34),~d_34,~a_2,d_27]"
"[(a_22-< ~a_23,a_12,a_11),(a_11-< ~a_2),~a_2,(a_12-<a_5,~a_7),~a_7,a_5,~a_23]","[(~a_22-<a_11,~a_23,a_12,~d_25),~d_25,(a_12-<a_5,~a_7),~a_7,a_5,~a_23,(a_11-< ~a_2),~a_2]","[(~a_22-<a_11,~a_23,a_12,~d_25),~d_25,(a_12-<a_5,~a_7),~a_7,a_5,~a_23,(a_11-< ~a_2),~a_2]"
"[(a_22-< ~a_23,a_12,a_11),(a_11-< ~a_2),~a_2,(a_12-<a_5,~a_7),~a_7,a_5,~a_23]","[(~a_22-<d_26,a_11,~a_23,a_12),(a_12-<a_5,~a_7),~a_7,a_5,~a_23,(a_11-< ~a_2),~a_2,d_26]","[(~a_22-<d_26,a_11,~a_23,a_12),(a_12-<a_5,~a_7),~a_7,a_5,~a_23,(a_11-< ~a_2),~a_2,d_26]"
"[(~a_21-<d_35,~a_7),~a_7,d_35]","[(a_21-<d_35,~d_39,~a_7),~a_7,~d_39,d_35]","[(a_21-<d_35,~d_39,~a_7),~a_7,~d_39,d_35]"
"[(~a_21-<d_35,~a_7),~a_7,d_35]","[(a_21-<d_35,d_40,~a_7),~a_7,d_40,d_35]","[(a_21-<d_35,d_40,~a_7),~a_7,d_40,d_35]"
"[(~a_21-<d_35,~a_7),~a_7,d_35]","[(a_21-<d_35,~a_7,~d_41),~d_41,~a_7,d_35]","[(a_21-<d_35,~a_7,~d_41),~d_41,~a_7,d_35]"
"[(~a_21-<d_35,~a_7),~a_7,d_35]","[(a_21-<d_35,d_42,~a_7),~a_7,d_42,d_35]","[(a_21-<d_35,d_42,~a_7),~a_7,d_42,d_35]"
"[(~a_21-< ~a_2,d_36),d_36,~a_2]","[(a_21-< ~d_43,~a_2,d_36),d_36,~a_2,~d_43]","[(a_21-< ~d_43,~a_2,d_36),d_36,~a_2,~d_43]"
"[(~a_21-< ~a_2,d_36),d_36,~a_2]","[(a_21-<d_44,~a_2,d_36),d_36,~a_2,d_44]","[(a_21-<d_44,~a_2,d_36),d_36,~a_2,d_44]"
"[(~a_21-< ~a_2,d_36),d_36,~a_2]","[(a_21-<d_45,~a_2,d_36),d_36,~a_2,d_45]","[(a_21-<d_45,~a_2,d_36),d_36,~a_2,d_45]"
"[(~a_21-< ~a_7,d_37),d_37,~a_7]","[(a_21-< ~d_46,~a_7,d_37),d_37,~a_7,~d_46]","[(a_21-< ~d_46,~a_7,d_37),d_37,~a_7,~d_46]"
"[(~a_21-< ~a_7,d_37),d_37,~a_7]","[(a_21-<d_47,~a_7,d_37),d_37,~a_7,d_47]","[(a_21-<d_47,~a_7,d_37),d_37,~a_7,d_47]"
"[(~a_21-< ~a_7,d_37),d_37,~a_7]","[(a_21-<d_48,~a_7,d_37),d_37,~a_7,d_48]","[(a_21-<d_48,~a_7,d_37),d_37,~a_7,d_48]"
"[(~a_21-< ~a_2,d_38),d_38,~a_2]","[(a_21-<d_49,~a_2,d_38),d_38,~a_2,d_49]","[(a_21-<d_49,~a_2,d_38),d_38,~a_2,d_49]"
"[(~a_16-<d_50,~a_2,~a_6),~a_6,~a_2,d_50]","[(a_16-<d_54,d_50,~a_2,~a_6),~a_6,~a_2,d_50,d_54]","[(a_16-<d_54,d_50,~a_2,~a_6),~a_6,~a_2,d_50,d_54]"
"[(~a_16-<d_50,~a_2,~a_6),~a_6,~a_2,d_50]","[(a_16-<d_50,~a_2,~a_6,d_55),d_55,~a_6,~a_2,d_50]","[(a_16-<d_50,~a_2,~a_6,d_55),d_55,~a_6,~a_2,d_50]"
"[(~a_16-<a_9,a_13,d_51),d_51,(a_13-< ~a_6,~a_2),~a_2,~a_6,a_9]","[(a_16-< ~d_56,a_9,a_13,d_51),d_51,(a_13-< ~a_6,~a_2),~a_2,~a_6,a_9,~d_56]","[(a_16-< ~d_56,a_9,a_13,d_51),d_51,(a_13-< ~a_6,~a_2),~a_2,~a_6,a_9,~d_56]"
"[(~a_16-<a_9,d_52,a_13),(a_13-< ~a_6,~a_2),~a_2,~a_6,d_52,a_9]","[(a_16-<a_9,d_52,a_13,~d_57),~d_57,(a_13-< ~a_6,~a_2),~a_2,~a_6,d_52,a_9]","[(a_16-<a_9,d_52,a_13,~d_57),~d_57,(a_13-< ~a_6,~a_2),~a_2,~a_6,d_52,a_9]"
